المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 98,2022-04-07,16676235,"ر.س.‏ 1,000,000",750.0,1333
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 141/أ,2022-04-05,16654416,"ر.س.‏ 3,164,989",420.0,7536
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 202/أ,2022-04-18,16738418,"ر.س.‏ 2,300,000",765.0,3007
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 324/8,2022-04-06,16665191,"ر.س.‏ 1,350,000",421.6,3202
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 57,2022-04-20,16783539,"ر.س.‏ 13,440,000",3360.0,4000
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 738/3,2022-04-05,16645791,"ر.س.‏ 8,000,000",2500.0,3200
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 752/3,2022-04-05,16645726,"ر.س.‏ 8,000,000",2500.0,3200
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 68,2022-04-12,16704112,"ر.س.‏ 1,800,000",660.0,2727
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 70/أ,2022-04-12,16704178,"ر.س.‏ 1,800,000",660.0,2727
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 2555/2/ب,2022-04-14,16722976,"ر.س.‏ 252,000",450.0,560
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 121,2022-04-22,16799263,"ر.س.‏ 1,620,000",600.0,2700
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 168,2022-04-06,16668011,"ر.س.‏ 2,250,000",750.0,3000
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 832,2022-04-06,16667891,"ر.س.‏ 1,988,400",792.0,2511
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 217,2022-04-14,16730437,"ر.س.‏ 1,750,000",981.62,1783
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 244/2,2022-04-25,16823397,"ر.س.‏ 865,000",326.25,2651
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 473,2022-04-19,16753786,"ر.س.‏ 2,200,000",843.47,2608
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 478/أ,2022-04-04,16639808,"ر.س.‏ 1,400,000",287.5,4870
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 478/أ,2022-04-19,16770980,"ر.س.‏ 1,400,000",287.5,4870
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 706,2022-04-12,16713995,"ر.س.‏ 2,000,000",575.0,3478
جده,حي/ابحر الشمالية,مخطط/231/ ب/ المعدل,قطعة 430,2022-04-07,16678823,"ر.س.‏ 1,752,280",876.14,2000
جده,حي/ابحر الشمالية,مخطط/231/ ب/ المعدل,قطعة 73/1,2022-04-27,16832316,"ر.س.‏ 1,200,000",390.0,3077
جده,حي/ابحر الشمالية,مخطط/231/ ب/ المعدل,قطعة 73/2,2022-04-27,16832353,"ر.س.‏ 1,200,000",390.0,3077
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 470,2022-04-07,16668760,"ر.س.‏ 1,170,000",616.0,1899
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 433/ب,2022-04-27,16830832,"ر.س.‏ 1,740,000",312.5,5568
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 843/ب,2022-04-27,16830976,"ر.س.‏ 2,184,000",780.0,2800
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 844/ب,2022-04-19,16773865,"ر.س.‏ 2,326,500",775.5,3000
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 61,2022-04-07,16676863,"ر.س.‏ 3,110,400",972.0,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 90,2022-04-07,16677358,"ر.س.‏ 3,339,840",1043.7,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 91,2022-04-07,16677252,"ر.س.‏ 2,880,000",900.0,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 92,2022-04-07,16677189,"ر.س.‏ 2,880,000",900.0,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 93,2022-04-07,16676991,"ر.س.‏ 2,880,000",900.0,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 94,2022-04-07,16677105,"ر.س.‏ 2,880,000",900.0,3200
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س/ المع…,قطعة 152,2022-04-18,16744115,"ر.س.‏ 2,468,001",1028.65,2399
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س/ المع…,قطعة 153,2022-04-18,16744538,"ر.س.‏ 2,468,088",1028.37,2400
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س/ المع…,قطعة 154,2022-04-18,16737426,"ر.س.‏ 2,088,000",870.0,2400
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س/ المع…,قطعة 155,2022-04-18,16737462,"ر.س.‏ 2,088,000",870.0,2400
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س/ المع…,قطعة 384,2022-04-07,16677726,"ر.س.‏ 2,688,000",840.0,3200
جده,حي/الأمير فواز الشما…,مخطط/108/ ب,قطعة 770,2022-04-12,16671680,"ر.س.‏ 1,000,000",900.0,1111
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 1089,2022-04-05,16654211,"ر.س.‏ 1,650,000",550.0,3000
جده,حي/الاجاويد,مخطط/323/ ب,قطعة 110,2022-04-24,16802660,"ر.س.‏ 215,000",600.0,358
جده,حي/الاجاويد,مخطط/323/ ب,قطعة 849,2022-04-24,16805743,"ر.س.‏ 650,000",600.0,1083
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 397,2022-04-11,16703766,"ر.س.‏ 1,000,000",745.5,1341
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 473,2022-04-29,16836304,"ر.س.‏ 1,096,000",730.66,1500
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 474,2022-04-29,16836319,"ر.س.‏ 1,259,040",839.36,1500
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 476,2022-04-29,16836315,"ر.س.‏ 1,948,100",1298.74,1500
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 478,2022-04-29,16836349,"ر.س.‏ 1,616,400",1077.6,1500
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 480,2022-04-29,16836325,"ر.س.‏ 1,374,000",916.2,1500
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 482,2022-04-29,16836299,"ر.س.‏ 1,215,960",810.64,1500
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1428,2022-04-13,16717957,"ر.س.‏ 1,350,000",400.0,3375
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1442,2022-04-17,16741554,"ر.س.‏ 200,000",750.0,267
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1443,2022-04-17,16741502,"ر.س.‏ 200,000",900.0,222
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1812,2022-04-05,16652602,"ر.س.‏ 1,056,647",400.0,2642
جده,حي/الاجواد,مخطط/223/ ب,قطعة 814,2022-04-14,16729964,"ر.س.‏ 500,000",400.0,1250
جده,حي/الاصالة,مخطط/372/ ب,قطعة 1033,2022-04-27,16832276,"ر.س.‏ 1,300,000",600.0,2167
جده,حي/الاصالة,مخطط/372/ ب,قطعة 1296,2022-04-01,16625443,"ر.س.‏ 1,150,000",600.0,1917
جده,حي/الاصالة,مخطط/372/ ب,قطعة 1298,2022-04-11,16703655,"ر.س.‏ 1,295,000",600.0,2158
جده,حي/الاصالة,مخطط/372/ ب,قطعة 350,2022-04-17,16739880,"ر.س.‏ 625,000",520.0,1202
جده,حي/الامواج,مخطط/220/ ج/ س,قطعة 107,2022-04-05,16656339,"ر.س.‏ 2,500,000",964.8,2591
جده,حي/الامواج,مخطط/251/ ب,قطعة 262,2022-04-24,16804192,"ر.س.‏ 1,700,000",741.81,2292
