المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 279/أ,2021-04-18,12571295,"ر.س.‏ 2,400,000",359.94,6668
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/أ,2021-04-12,12533218,"ر.س.‏ 1,200,000",420.0,2857
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/ب,2021-04-12,12533515,"ر.س.‏ 1,200,000",420.0,2857
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 327/ب/6,2021-04-08,12492603,"ر.س.‏ 1,200,000",442.0,2715
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 715/أ,2021-04-21,12615183,"ر.س.‏ 2,515,000",434.7,5786
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 127/ع,2021-04-27,13211524,"ر.س.‏ 1,525,000",500.0,3050
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 162,2021-04-08,12498560,"ر.س.‏ 900,000",634.96,1417
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 163,2021-04-08,12498610,"ر.س.‏ 900,000",714.35,1260
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 92,2021-04-04,12448990,"ر.س.‏ 800,000",630.0,1270
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1987/2/ب,2021-04-01,12418171,"ر.س.‏ 70,000",450.0,156
جده,حي/ابحر الجنوبية الش…,مخطط/أخرى,قطعة 34/ج,2021-04-21,12566437,"ر.س.‏ 50,000",900.0,56
جده,حي/ابحر الشمالية,مخطط/125/ ج/ س,قطعة 6,2021-04-06,12474535,"ر.س.‏ 2,000,000",964.76,2073
جده,حي/ابحر الشمالية,مخطط/125/ ج/ س,قطعة 8,2021-04-06,12474558,"ر.س.‏ 2,000,000",990.11,2020
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 43/أ,2021-04-12,12537740,"ر.س.‏ 1,264,000",315.0,4013
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 505/أ,2021-04-18,12570400,"ر.س.‏ 1,800,000",330.0,5455
جده,حي/ابحر الشمالية,مخطط/183/ ج/ س,قطعة 29,2021-04-17,12566272,"ر.س.‏ 1,452,000",660.0,2200
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 834,2021-04-08,12489669,"ر.س.‏ 1,095,000",1095.77,999
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 835,2021-04-08,12489780,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 836,2021-04-08,12489907,"ر.س.‏ 840,000",840.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 837,2021-04-08,12489978,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 838,2021-04-08,12490123,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 839,2021-04-08,12490233,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 840,2021-04-08,12490388,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 841,2021-04-08,12490462,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 842,2021-04-08,12490550,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 843,2021-04-08,12491027,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 844,2021-04-08,12491103,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 845,2021-04-08,12490948,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 846,2021-04-08,12490916,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 847,2021-04-08,12491016,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 848,2021-04-08,12491081,"ر.س.‏ 720,000",720.0,1000
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 851,2021-04-11,12526556,"ر.س.‏ 1,656,000",720.0,2300
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 853,2021-04-11,12526544,"ر.س.‏ 1,656,000",720.0,2300
جده,حي/ابحر الشمالية,مخطط/231/ ب/ المعدل,قطعة 148,2021-04-14,12556173,"ر.س.‏ 3,639,276",1347.88,2700
جده,حي/ابحر الشمالية,مخطط/231/ ب/ المعدل,قطعة 327,2021-04-05,12460901,"ر.س.‏ 1,861,500",730.5,2548
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 594,2021-04-11,12515060,"ر.س.‏ 610,000",603.79,1010
