المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 279/أ,18/04/2021,12571295,"2,400,000",359.94,6668
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/أ,12/04/2021,12533218,"1,200,000",420,2857
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/ب,12/04/2021,12533515,"1,200,000",420,2857
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 327/ب/6,08/04/2021,12492603,"1,200,000",442,2715
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 715/أ,21/04/2021,12615183,"2,515,000",434.7,5786
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 127/ع,27/04/2021,13211524,"1,525,000",500,3050
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 162,08/04/2021,12498560,"900,000",634.96,1417
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 163,08/04/2021,12498610,"900,000",714.35,1260
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 92,04/04/2021,12448990,"800,000",630,1270
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1987/2/ب,01/04/2021,12418171,"70,000",450,156
جده,حي/ابحر الجنوبية الش…,مخطط/أخرى,قطعة 34/ج,21/04/2021,12566437,"50,000",900,56
جده,حي/ابحر الشمالية,مخطط/125/ ج/ س,قطعة 6,06/04/2021,12474535,"2,000,000",964.76,2073
جده,حي/ابحر الشمالية,مخطط/125/ ج/ س,قطعة 8,06/04/2021,12474558,"2,000,000",990.11,2020
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 43/أ,12/04/2021,12537740,"1,264,000",315,4013
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 505/أ,18/04/2021,12570400,"1,800,000",330,5455
جده,حي/ابحر الشمالية,مخطط/183/ ج/ س,قطعة 29,17/04/2021,12566272,"1,452,000",660,2200
